"name","location_name","latitude","longitude"
"Mail","Afghanistan","33","65"
"Eastren Region Afghanistan","Afghanistan","33","65"
"Stop Stock Outs","Africa","0","0"
"United for Africa","Africa","0","0"
"Hubs in Africa","Africa","0","0"
"Women's Tech Organizations in Africa","Africa","0","0"
"Pharafina","Africa","0","0"
"Smart Tourist Albania","Albania","41","20"
"raportime.com","Albania","41","20"
"Open Algeria","Algeria","28","3"
"AgroTestigo","Argentina","-34","-64"
"Floods","Argentina","-34","-64"
"Election issues in Argentina","Argentina","-34","-64"
"Elecciones argentinas 2011","Argentina","-34","-64"
"Being LGBT in Asia","Asia","0","0"
"Brisbane floods","Australia","-27","133"
"Cyclone Yasi","Australia","-27","133"
"QLD Flood Crisis Map","Australia","-27","133"
"Bijoya","Bangladesh","24","90"
"Corruption in Emendas district","Brazil","-10","-55"
"Eleitor 2010","Brazil","-10","-55"
"Rio sem Dengue","Brazil","-10","-55"
"SIG APA Tejupa - Perimetro Piraju - CEDIAP-GEO","Brazil","-10","-55"
"http:/./meubairrobrasil.com","Brazil","-10","-55"
"Crime.bg","Bulgaria","43","25"
"BezDim - smoke free places in Buglaria","Bulgaria","43","25"
"Fair Elections Bulgaria","Bulgaria","43","25"
"Bulgarian elections 2011","Bulgaria","43","25"
"Handheld Human Rights","Myanmar","22","98"
"Amatoro Mu Mahoro Burundi","Burundi","-3.5","30"
"Urban voice cambodia","Cambodia","13","105"
"Cambodia floods","Cambodia","13","105"
"Cambodia gender-based violence","Cambodia","13","105"
"MB Floods","Canada","60","-95"
"Saskatchewan floods","Canada","60","-95"
"SightedNOW","Canada","60","-95"
"MARS Lab | University of Alberta","Canada","60","-95"
"University of Alberta Pilot Safety Project","Canada","60","-95"
"Toronto map of wood and materials on the street","Canada","60","-95"
"2010 Chilean Earthquake","Chile","-30","-71"
"Mapping social movements","Chile","-30","-71"
"2011 District Council Election Citizens Monitor","China","35","105"
"Qiantang River Map","China","35","105"
"abducted child beggars","China","35","105"
"Información Zonal Barrio Minuto de Dios","Colombia","4","-72"
"Centro de Informacion para el Reporte de Emergencias","Colombia","4","-72"
"Floods in Colombia","Colombia","4","-72"
"Disasters in Columbia","Colombia","4","-72"
"Inundaciones Colombia, Sala de Situación Humanitaria","Colombia","4","-72"
"Elections in Colombia 2010","Colombia","4","-72"
"Mi Bogota Verde","Colombia","4","-72"
"Percepcion de Seguridad en Colombia","Colombia","4","-72"
"Child labour","Colombia","4","-72"
"LocalCrime.org - Costa Rica","Costa Rica","10","-84"
"LocalCrime.org","Costa Rica","10","-84"
"Truth and Reconciliation in Cote d'Ivoire","Cote d'Ivoire","8","-5"
"Wonzomai","Cote d'Ivoire","8","-5"
"Prague watch","Czech Republic","49.75","15.5"
"Flood mapping","Czech Republic","49.75","15.5"
"rrmp","Congo, the Democratic Republic of the","0","25"
"Democratic Republic of Congo","Congo, the Democratic Republic of the","0","25"
"Zabatak - Egyptian anti-corruption website","Egypt","27","30"
"Egypt :: Parliamentary Elections 2011 ::","Egypt","27","30"
"Egypt :: Socio Political Developments ::","Egypt","27","30"
"Ethiopian Vote Monitor","Ethiopia","8","38"
"WatchTheMed","Europe","0","0"
"Less E-Waste in the Balkan","Europe","0","0"
"Nurnberg steigt auf","Germany","51","9"
"SeCoServ2","Germany","51","9"
"Ghana Votes 2012","Ghana","8","-2"
"Resilient Networks","World","0","0"
"Greek Austerity Crisis","Greece","39","22"
"Lozenges for anothers' pain locations","Greece","39","22"
"EspantaCacos","Guatemala","15.5","-90.25"
"Guatemala indigenous health and human rights","Guatemala","15.5","-90.25"
"EspantaCacos","Guatemala","15.5","-90.25"
"Alliance Guinea","Guinea","11","-10"
"Haiti Earthquake","Haiti","19","-72.4167"
"Haiti Crisis Map","Haiti","19","-72.4167"
"Honduras Health Mapping","Honduras","15","-86.5"
"""Visualise the deserted city squares"" Budapest","Hungary","47","20"
"Mumbai Unites: People helping each other after the Mumbai Blasts","India","20","77"
"Vote Report India","India","20","77"
"My Health My Voice","India","20","77"
"Health Care development","India","20","77"
"Health Care","India","20","77"
"Power Cuts in India","India","20","77"
"TelecomMap","India","20","77"
"To kill poverty","India","20","77"
"INDIA•CR - India Citizen Reports","India","20","77"
"We4Animals","India","20","77"
"Gender Imbalance in India","India","20","77"
"maps4aid","India","20","77"
"Klikjkt Jakarta civic map","Indonesia","-5","120"
"Ensiklopedia Korupsi Indonesia","Indonesia","-5","120"
"Crime mapping in Indonesia","Indonesia","-5","120"
"Jakarta floods","Indonesia","-5","120"
"Bantu Jakarta","Indonesia","-5","120"
"Disaster information centre","Indonesia","-5","120"
"Jakarta floods","Indonesia","-5","120"
"Enviro Map - WALHI/FoE Indonesia","Indonesia","-5","120"
"Preserving indonesia's natural and cultural heritage","Indonesia","-5","120"
"Forest Locker Map","Indonesia","-5","120"
"Indonesian CaveID","Indonesia","-5","120"
"Subterra Indonesia","Indonesia","-5","120"
"Open Nuclear Iran","Iran, Islamic Republic of","32","53"
"Iran Voices","Iran, Islamic Republic of","32","53"
"Dispute monitoring","Iraq","33","44"
"We hunt down racist graffitis","Israel","31.5","34.75"
"Racconta Pavia","italy","42.8333","12.8333"
"IndipendenteMente Segnala!","Italy","42.8333","12.8333"
"SegnalaRomaNord","Italy","42.8333","12.8333"
"Flooding, Sardinia","Italy","42.8333","12.8333"
"Linkem ISP wireless monitoring","Italy","42.8333","12.8333"
"Crowdsourcing the Crowdsourcing","Italy","42.8333","12.8333"
"Sala Operativa 2.0 CrowdMap","Italy","42.8333","12.8333"
"Open Foreste Italiane","Italy","42.8333","12.8333"
"Biodiversit Urbana","Italy","42.8333","12.8333"
"Strade Sporche","Italy","42.8333","12.8333"
"Wimax Monitoring","Italy","42.8333","12.8333"
"Heavy snowfall, Japan","Japan","36","138"
"Japan earthquake, tsunami and Level 4 nuclear incident","Japan","36","138"
"sinsai.info","Japan","36","138"
